#step	time	mdot360	FmomInletX360	FpInletGaugeX360	FpWallX360	FshearWallX360	T_CFD360	T_ideal360	Cfg
0	0	-0	-0	0	0	-0.0285199	-0.0285199	-0	0
1	1.2e-06	-0	-0	100.182	-0.993253	-0.0285197	99.16	-0	0
2	2.41511e-06	0.306434	127.047	42.8176	-1.95067	-0.0285438	167.886	178.114	0.942574
3	3.62618e-06	0.240789	101.53	40.6966	-2.85366	-0.0285476	139.344	139.958	0.995615
4	4.83464e-06	0.243912	104.61	38.8846	-3.70006	-0.0285478	139.766	141.774	0.98584
5	6.04208e-06	0.245702	107.201	37.0527	-4.48712	-0.0285452	139.738	142.814	0.978461
6	7.25008e-06	0.247288	109.765	35.1761	-5.21202	-0.0285404	139.701	143.736	0.971928
7	8.4601e-06	0.248769	112.329	33.2666	-5.87227	-0.0285341	139.694	144.596	0.966099
8	9.67339e-06	0.250138	114.866	31.3451	-6.46578	-0.0285268	139.716	145.393	0.96096
9	1.0891e-05	0.251381	117.34	29.4389	-6.99086	-0.0285189	139.759	146.115	0.956502
10	1.21138e-05	0.252483	119.709	27.5814	-7.44612	-0.0285105	139.816	146.755	0.952712
11	1.33424e-05	0.253432	121.925	25.8131	-7.83037	-0.0285017	139.879	147.307	0.949571
12	1.45773e-05	0.254225	123.936	24.1797	-8.14238	-0.0284923	139.945	147.768	0.947058
13	1.58184e-05	0.254863	125.69	22.7322	-8.38071	-0.0284823	140.013	148.138	0.945149
14	1.70653e-05	0.255354	127.138	21.5208	-8.54525	-0.0284712	140.085	148.424	0.943818
15	1.83187e-05	0.255714	128.242	20.5894	-8.63648	-0.0284589	140.167	148.633	0.943036
16	1.95789e-05	0.255962	128.979	19.9694	-8.65551	-0.0284449	140.264	148.778	0.942778
17	2.08464e-05	0.256118	129.347	19.671	-8.60444	-0.0284291	140.385	148.868	0.943018
18	2.21218e-05	0.256198	129.374	19.6764	-8.49307	-0.0284134	140.529	148.915	0.943687
19	2.34047e-05	0.256213	129.114	19.937	-8.34013	-0.0284012	140.682	148.924	0.944662
