#step	time	mdot360	FmomInletX360	FpInletGaugeX360	FpWallX360	FshearWallX360	T_CFD360	T_ideal360	Cfg
52	7.97374e-05	0.126351	24.1043	71.1515	-0.185939	-0.00263415	95.0672	69.3135	1.37155
53	8.10768e-05	0.125775	23.871	71.2745	-0.18525	-0.00265628	94.9577	68.9975	1.37625
54	8.2415e-05	0.1252	23.639	71.3971	-0.184862	-0.00267825	94.8485	68.6818	1.38098
55	8.3752e-05	0.124623	23.4078	71.5191	-0.184737	-0.00270007	94.7394	68.3654	1.38578
56	8.50878e-05	0.124045	23.1779	71.6401	-0.184775	-0.00272174	94.6306	68.0484	1.39064
57	8.64226e-05	0.123468	22.9503	71.7596	-0.184897	-0.00274329	94.5223	67.7318	1.39554
58	8.77563e-05	0.122895	22.7264	71.8767	-0.185053	-0.00276474	94.4153	67.4172	1.40046
59	8.90889e-05	0.122329	22.5093	71.989	-0.185175	-0.00278613	94.3103	67.1071	1.40537
60	9.04204e-05	0.121783	22.3029	72.0947	-0.185153	-0.00280749	94.2097	66.8076	1.41016
61	9.17507e-05	0.121267	22.1102	72.1926	-0.184963	-0.00282886	94.115	66.5241	1.41475
62	9.30798e-05	0.120785	21.9329	72.282	-0.184575	-0.00285026	94.0274	66.26	1.41907
63	9.44075e-05	0.120343	21.7721	72.3624	-0.183978	-0.00287172	93.9476	66.0176	1.42307
64	9.57341e-05	0.119944	21.6284	72.4337	-0.183183	-0.00289326	93.876	65.7985	1.42672
65	9.70593e-05	0.119588	21.502	72.4959	-0.182224	-0.00291491	93.8128	65.6034	1.43
66	9.83834e-05	0.119277	21.3928	72.549	-0.181134	-0.00293666	93.7578	65.4326	1.43289
67	9.97063e-05	0.11901	21.3005	72.5934	-0.179901	-0.00295851	93.7111	65.2862	1.43539
68	0.000101028	0.118786	21.2245	72.6294	-0.178524	-0.00298048	93.6724	65.1635	1.4375
69	0.000102349	0.118605	21.164	72.6574	-0.177002	-0.00300254	93.6414	65.0638	1.43922
70	0.000103668	0.118463	21.1182	72.6779	-0.175343	-0.0030246	93.6178	64.9861	1.44058
71	0.000104986	0.118359	21.0856	72.692	-0.173561	-0.00304664	93.601	64.9291	1.44159
72	0.000106304	0.118287	21.0639	72.701	-0.171676	-0.00306862	93.5901	64.8898	1.44229
73	0.00010762	0.118242	21.0511	72.7058	-0.169715	-0.00309056	93.584	64.865	1.44275
74	0.000108935	0.118218	21.0451	72.7074	-0.167719	-0.00311243	93.5817	64.8517	1.44301
75	0.000110249	0.11821	21.0443	72.7067	-0.165724	-0.00313426	93.5822	64.8471	1.44312
76	0.000111562	0.118213	21.047	72.7046	-0.163761	-0.00315604	93.5847	64.8489	1.44312
77	0.000112875	0.118224	21.0519	72.7016	-0.161857	-0.00317779	93.5885	64.8549	1.44304
78	0.000114186	0.118239	21.0577	72.6985	-0.160021	-0.00319952	93.593	64.8631	1.44293
79	0.000115496	0.118255	21.0633	72.6958	-0.158267	-0.00322124	93.5975	64.8718	1.44281
80	0.000116806	0.118269	21.0677	72.6938	-0.156612	-0.00324297	93.6017	64.8795	1.4427
81	0.000118114	0.118278	21.0702	72.6931	-0.155063	-0.00326472	93.6049	64.8848	1.44263
82	0.000119422	0.118282	21.0702	72.6937	-0.153616	-0.00328649	93.607	64.8869	1.44262
83	0.000120729	0.118279	21.0675	72.6958	-0.15227	-0.00330828	93.6078	64.8852	1.44267
84	0.000122036	0.118268	21.0619	72.6996	-0.151024	-0.00333009	93.6071	64.8793	1.44279
85	0.000123341	0.118249	21.0531	72.7049	-0.149877	-0.00335193	93.6048	64.8688	1.44299
86	0.000124646	0.118222	21.0414	72.7118	-0.148822	-0.00337379	93.601	64.8539	1.44326
87	0.00012595	0.118187	21.0268	72.7202	-0.147852	-0.00339568	93.5957	64.8347	1.44361
88	0.000127254	0.118145	21.0095	72.7299	-0.146961	-0.0034176	93.589	64.8114	1.44402
89	0.000128557	0.118095	20.9899	72.7408	-0.146141	-0.00343951	93.5811	64.7844	1.4445
90	0.00012986	0.11804	20.9683	72.7526	-0.145383	-0.00346141	93.572	64.7541	1.44504
91	0.000131162	0.11798	20.945	72.7651	-0.144673	-0.00348331	93.562	64.7211	1.44562
92	0.000132463	0.117916	20.9206	72.7782	-0.144003	-0.0035052	93.5513	64.6861	1.44624
93	0.000133764	0.117849	20.8954	72.7916	-0.143358	-0.0035271	93.5401	64.6495	1.44688
94	0.000135064	0.117781	20.8696	72.8052	-0.142718	-0.003549	93.5286	64.612	1.44754
95	0.000136364	0.117711	20.8436	72.8189	-0.142078	-0.00357091	93.5169	64.5739	1.44822
96	0.000137664	0.117642	20.8177	72.8324	-0.141433	-0.00359283	93.5052	64.5356	1.44889
