#step	time	mdot360	FmomInletX360	FpInletGaugeX360	FpWallX360	FshearWallX360	T_CFD360	T_ideal360	Cfg
0	0	-0	-0	0	0	-0.0285199	-0.0285199	-0	0
1	1.2e-06	-0	-0	16.697	-0.993253	-0.0285197	15.6752	-0	0
2	2.41511e-06	0.167146	67.3139	-13.069	-1.95067	-0.0285189	52.2657	48.7366	1.07241
3	3.62618e-06	0.129715	52.0159	-13.0471	-2.85366	-0.0285042	36.0866	37.8226	0.954102
4	4.83464e-06	0.130193	51.9711	-12.8302	-3.70006	-0.0284849	35.4124	37.962	0.932838
5	6.04208e-06	0.129985	51.6478	-12.592	-4.48712	-0.0284618	34.5402	37.9013	0.911319
6	7.25008e-06	0.129704	51.2975	-12.354	-5.21202	-0.0284356	33.7031	37.8193	0.891163
7	8.4601e-06	0.129414	50.9522	-12.1235	-5.87227	-0.0284071	32.9281	37.7347	0.87262
8	9.67339e-06	0.129128	50.6233	-11.907	-6.46578	-0.0283766	32.2221	37.6515	0.855799
9	1.0891e-05	0.128856	50.3204	-11.7109	-6.99086	-0.0283447	31.5903	37.5721	0.840792
10	1.21138e-05	0.128606	50.053	-11.5411	-7.44612	-0.0283116	31.0375	37.4992	0.827686
11	1.33424e-05	0.128387	49.8289	-11.4022	-7.83037	-0.0282776	30.5681	37.4352	0.816561
12	1.45773e-05	0.128205	49.6541	-11.2975	-8.14238	-0.0282427	30.186	37.3823	0.807494
13	1.58184e-05	0.128067	49.5315	-11.228	-8.38071	-0.028207	29.8945	37.3421	0.800559
14	1.70653e-05	0.127975	49.4607	-11.1926	-8.54525	-0.0281705	29.6946	37.3152	0.795779
15	1.83187e-05	0.127927	49.4374	-11.1875	-8.63648	-0.0281329	29.5853	37.3013	0.793144
16	1.95789e-05	0.12792	49.4539	-11.2066	-8.65551	-0.0280943	29.5636	37.2991	0.79261
17	2.08464e-05	0.127945	49.4993	-11.2423	-8.60444	-0.0280544	29.6245	37.3063	0.794087
18	2.21218e-05	0.127991	49.5589	-11.2838	-8.49307	-0.0280153	29.754	37.3199	0.797268
19	2.34047e-05	0.128046	49.6173	-11.3211	-8.34013	-0.0279802	29.9281	37.3358	0.80159
20	2.46884e-05	0.128095	49.6611	-11.346	-8.15703	-0.0279495	30.1301	37.3501	0.806693
21	2.59722e-05	0.128128	49.6809	-11.3532	-7.95361	-0.0279227	30.3462	37.3598	0.812269
22	2.72562e-05	0.128138	49.6713	-11.34	-7.73952	-0.0278995	30.5639	37.3626	0.818034
23	2.85404e-05	0.128121	49.6313	-11.3067	-7.52349	-0.0278795	30.7732	37.3577	0.823745
24	2.98249e-05	0.128078	49.5636	-11.2559	-7.31326	-0.0278624	30.9666	37.3451	0.8292
25	3.11098e-05	0.128011	49.4737	-11.1919	-7.11573	-0.0278479	31.1383	37.3257	0.834231
26	3.2395e-05	0.127927	49.3685	-11.1194	-6.9273	-0.0278356	31.294	37.3011	0.838956
27	3.36789e-05	0.127831	49.2554	-11.0434	-6.73878	-0.0278242	31.4455	37.2732	0.843649
28	3.49629e-05	0.12773	49.141	-10.9679	-6.58441	-0.0278106	31.5608	37.2436	0.847415
29	3.62479e-05	0.127629	49.0305	-10.8964	-6.46891	-0.0277943	31.6375	37.2142	0.850145
30	3.75347e-05	0.127532	48.928	-10.8308	-6.38622	-0.0277761	31.6832	37.1861	0.852017
31	3.88194e-05	0.127444	48.836	-10.7728	-6.32851	-0.0277574	31.7069	37.1602	0.853249
32	4.0099e-05	0.127365	48.7561	-10.723	-6.29042	-0.0277389	31.7149	37.1373	0.853992
33	4.13742e-05	0.127297	48.6882	-10.6811	-6.26715	-0.0277208	31.7122	37.1174	0.854376
34	4.26454e-05	0.12724	48.6317	-10.6465	-6.25399	-0.0277033	31.7035	37.1007	0.854526
35	4.39132e-05	0.127192	48.5855	-10.6183	-6.24748	-0.0276866	31.692	37.0869	0.854533
36	4.5178e-05	0.127153	48.548	-10.5956	-6.24399	-0.0276706	31.6807	37.0756	0.85449
37	4.644e-05	0.127122	48.5179	-10.5774	-6.24303	-0.0276555	31.6698	37.0665	0.854405
38	4.76996e-05	0.127097	48.4936	-10.5627	-6.24546	-0.0276409	31.6578	37.0591	0.854251
39	4.89571e-05	0.127077	48.4738	-10.5507	-6.2516	-0.027627	31.6439	37.0532	0.854014
40	5.02126e-05	0.12706	48.4574	-10.5406	-6.26144	-0.0276134	31.6278	37.0484	0.85369
41	5.14664e-05	0.127046	48.4434	-10.5318	-6.2747	-0.0276003	31.6093	37.0443	0.853283
42	5.27186e-05	0.127034	48.4308	-10.5239	-6.29068	-0.0275877	31.5887	37.0408	0.852808
43	5.39694e-05	0.127023	48.419	-10.5163	-6.3078	-0.0275756	31.5674	37.0376	0.852307
44	5.52189e-05	0.127012	48.4076	-10.5088	-6.3256	-0.0275639	31.5456	37.0345	0.851789
45	5.64674e-05	0.127002	48.3961	-10.5012	-6.34097	-0.0275528	31.5263	37.0315	0.851338
46	5.77148e-05	0.126992	48.3842	-10.4934	-6.35064	-0.0275423	31.5127	37.0285	0.851039
47	5.89613e-05	0.126981	48.3719	-10.4852	-6.35674	-0.0275321	31.5024	37.0253	0.850836
48	6.0207e-05	0.12697	48.3589	-10.4766	-6.35968	-0.0275222	31.4952	37.022	0.850716
49	6.1452e-05	0.126958	48.3454	-10.4675	-6.35998	-0.0275124	31.4904	37.0185	0.850665
50	6.26964e-05	0.126945	48.3312	-10.4581	-6.35783	-0.0275026	31.4878	37.0149	0.850678
51	6.39401e-05	0.126932	48.3163	-10.4482	-6.35387	-0.0274928	31.4867	37.0111	0.850739
52	6.51834e-05	0.126918	48.301	-10.4381	-6.34928	-0.0274828	31.4862	37.0071	0.850814
53	6.64262e-05	0.126904	48.2851	-10.4276	-6.34517	-0.0274726	31.4849	37.003	0.850875
54	6.76686e-05	0.12689	48.2688	-10.4168	-6.34157	-0.0274621	31.483	36.9987	0.85092
55	6.89106e-05	0.126875	48.2522	-10.4058	-6.33887	-0.0274514	31.48	36.9944	0.85094
56	7.01524e-05	0.12686	48.2352	-10.3947	-6.33713	-0.0274406	31.476	36.9899	0.850933
57	7.13937e-05	0.126844	48.2179	-10.3833	-6.33356	-0.0274299	31.4736	36.9854	0.850974
58	7.26348e-05	0.126828	48.2004	-10.3718	-6.33172	-0.027419	31.4695	36.9808	0.850968
59	7.38756e-05	0.126812	48.1827	-10.3602	-6.3317	-0.027408	31.4634	36.9761	0.850912
60	7.51161e-05	0.126796	48.1648	-10.3485	-6.33307	-0.027397	31.4559	36.9714	0.850817
61	7.63564e-05	0.12678	48.1468	-10.3366	-6.33564	-0.027386	31.4471	36.9667	0.850689
62	7.75966e-05	0.126763	48.1287	-10.3248	-6.33931	-0.027375	31.4372	36.9619	0.850532
63	7.88365e-05	0.126747	48.1104	-10.3128	-6.3437	-0.027364	31.4266	36.957	0.850354
64	8.00764e-05	0.12673	48.0921	-10.3008	-6.34867	-0.0273532	31.4153	36.9521	0.850161
65	8.13161e-05	0.126713	48.0736	-10.2887	-6.35404	-0.0273425	31.4035	36.9473	0.849956
66	8.25556e-05	0.126696	48.0551	-10.2766	-6.35994	-0.027332	31.3912	36.9423	0.849736
67	8.37951e-05	0.126679	48.0365	-10.2644	-6.3661	-0.0273217	31.3786	36.9374	0.849509
68	8.50345e-05	0.126662	48.0177	-10.2521	-6.37287	-0.0273115	31.3654	36.9324	0.849265
69	8.62738e-05	0.126645	47.9989	-10.2398	-6.3803	-0.0273016	31.3515	36.9274	0.849003
70	8.75131e-05	0.126628	47.9799	-10.2274	-6.38827	-0.0272918	31.3369	36.9223	0.848726
71	8.87522e-05	0.12661	47.9608	-10.2149	-6.3966	-0.0272822	31.322	36.9173	0.848438
72	8.99914e-05	0.126593	47.9416	-10.2024	-6.40545	-0.0272727	31.3065	36.9121	0.848136
73	9.12305e-05	0.126575	47.9222	-10.1897	-6.41328	-0.0272634	31.292	36.907	0.847861
74	9.24695e-05	0.126557	47.9027	-10.1769	-6.42185	-0.0272541	31.2767	36.9018	0.847566
75	9.37085e-05	0.126539	47.883	-10.164	-6.43121	-0.0272448	31.2605	36.8965	0.847248
76	9.49475e-05	0.126521	47.863	-10.1509	-6.4415	-0.0272356	31.2434	36.8912	0.846905
77	9.61865e-05	0.126503	47.8429	-10.1377	-6.45278	-0.0272263	31.2251	36.8859	0.846534
78	9.74254e-05	0.126484	47.8225	-10.1244	-6.46499	-0.0272171	31.2059	36.8804	0.846136
79	9.86643e-05	0.126465	47.8018	-10.1108	-6.47807	-0.0272078	31.1857	36.8749	0.845715
80	9.99032e-05	0.126446	47.7808	-10.0971	-6.4919	-0.0271986	31.1646	36.8694	0.845272
81	0.000101142	0.126427	47.7595	-10.0832	-6.5064	-0.0271894	31.1428	36.8637	0.844809
82	0.000102381	0.126407	47.738	-10.069	-6.52132	-0.0271802	31.1204	36.8579	0.844334
83	0.00010362	0.126387	47.7161	-10.0547	-6.53629	-0.027171	31.0979	36.8521	0.843857
84	0.000104859	0.126367	47.694	-10.0403	-6.55117	-0.0271619	31.0753	36.8462	0.843381
85	0.000106098	0.126346	47.6719	-10.026	-6.56584	-0.0271527	31.053	36.8402	0.84291
86	0.000107337	0.126326	47.6502	-10.012	-6.58011	-0.0271435	31.031	36.8343	0.84245
87	0.000108576	0.126306	47.6273	-9.99659	-6.59388	-0.0271343	31.0097	36.8285	0.842005
88	0.000109814	0.126284	47.6021	-9.97958	-6.60709	-0.0271252	30.9883	36.8221	0.841567
89	0.000111053	0.12626	47.5747	-9.96134	-6.61975	-0.027116	30.9665	36.815	0.841137
90	0.000112292	0.126234	47.5454	-9.9419	-6.63184	-0.0271068	30.9446	36.8074	0.840716
91	0.000113531	0.126206	47.5144	-9.9213	-6.64174	-0.0270977	30.9242	36.7993	0.840347
92	0.000114769	0.126177	47.4816	-9.89959	-6.65168	-0.0270883	30.9032	36.7908	0.839972
93	0.000116008	0.126145	47.4471	-9.8768	-6.66161	-0.0270789	30.8816	36.7817	0.839591
94	0.000117247	0.126113	47.4109	-9.85296	-6.67156	-0.0270695	30.8593	36.7722	0.839204
95	0.000118485	0.126079	47.3731	-9.82801	-6.68158	-0.02706	30.8365	36.7622	0.838809
96	0.000119724	0.126043	47.3335	-9.80192	-6.6917	-0.0270504	30.8129	36.7518	0.838406
97	0.000120962	0.126005	47.2922	-9.77473	-6.70189	-0.0270409	30.7886	36.7408	0.837994
98	0.000122201	0.125966	47.2492	-9.74646	-6.71215	-0.0270313	30.7636	36.7294	0.837575
99	0.000123439	0.125925	47.2046	-9.71715	-6.72254	-0.0270216	30.7379	36.7175	0.837146
100	0.000124678	0.125883	47.1583	-9.6868	-6.73308	-0.027012	30.7115	36.7051	0.836708
101	0.000125916	0.125839	47.1104	-9.65537	-6.74381	-0.0270024	30.6842	36.6923	0.836259
102	0.000127155	0.125793	47.0608	-9.62281	-6.75479	-0.0269927	30.6562	36.679	0.835797
