#step	time	mdot360	FmomInletX360	FpInletGaugeX360	FpWallX360	FshearWallX360	T_CFD360	T_ideal360	Cfg
0	0	-0	-0	0	0	-0.0285199	-0.0285199	-0	0
1	1.2e-06	-0	-0	66.7878	-0.993253	-0.0285197	65.7661	-0	0
2	2.41511e-06	0.250718	102.769	20.7615	-1.95067	-0.0285339	121.551	127.582	0.952728
3	3.62618e-06	0.196074	81.0891	19.7158	-2.85366	-0.0285306	97.9228	99.7755	0.981431
4	4.83464e-06	0.19798	82.631	18.9279	-3.70006	-0.0285234	97.8304	100.745	0.971065
5	6.04208e-06	0.198869	83.7938	18.1317	-4.48712	-0.0285132	97.4099	101.198	0.962571
6	7.25008e-06	0.199663	84.9565	17.3024	-5.21202	-0.0285007	97.0184	101.602	0.954888
7	8.4601e-06	0.20045	86.1507	16.442	-5.87227	-0.0284865	96.6919	102.002	0.94794
8	9.67339e-06	0.20123	87.3691	15.5579	-6.46578	-0.0284711	96.4328	102.399	0.941733
9	1.0891e-05	0.201995	88.5971	14.6612	-6.99086	-0.0284549	96.2389	102.789	0.936279
10	1.21138e-05	0.202734	89.8145	13.7666	-7.44612	-0.028438	96.1066	103.165	0.931584
11	1.33424e-05	0.203435	90.9971	12.8929	-7.83037	-0.0284206	96.0312	103.521	0.92765
12	1.45773e-05	0.204083	92.1164	12.0624	-8.14238	-0.0284026	96.008	103.851	0.924477
13	1.58184e-05	0.204669	93.141	11.3004	-8.38071	-0.0283839	96.0323	104.149	0.922065
14	1.70653e-05	0.20518	94.0391	10.6328	-8.54525	-0.0283642	96.0983	104.409	0.920401
15	1.83187e-05	0.205608	94.782	10.0836	-8.63648	-0.0283433	96.2008	104.627	0.919466
16	1.95789e-05	0.205946	95.3472	9.67192	-8.65551	-0.0283209	96.3353	104.799	0.919237
17	2.08464e-05	0.206193	95.7221	9.40863	-8.60444	-0.028297	96.498	104.925	0.919686
18	2.21218e-05	0.20635	95.9073	9.29345	-8.49307	-0.0282734	96.6794	105.005	0.920715
19	2.34047e-05	0.206421	95.9177	9.31344	-8.34013	-0.0282535	96.8628	105.041	0.922144
20	2.46884e-05	0.206416	95.7834	9.44299	-8.15703	-0.0282378	97.0411	105.038	0.923867
21	2.59722e-05	0.206347	95.5445	9.64843	-7.95361	-0.028226	97.2111	105.003	0.925794
22	2.72562e-05	0.206232	95.2452	9.89374	-7.73952	-0.028218	97.3712	104.945	0.927834
23	2.85404e-05	0.206091	94.9277	10.1457	-7.52349	-0.0282136	97.5217	104.873	0.929906
24	2.98199e-05	0.205941	94.6253	10.3795	-7.31409	-0.0282125	97.6625	104.797	0.931924
25	3.10915e-05	0.205799	94.359	10.581	-7.11855	-0.0282143	97.7932	104.724	0.933816
26	3.23566e-05	0.205674	94.1374	10.7459	-6.93279	-0.0282185	97.9222	104.661	0.935617
27	3.36163e-05	0.20557	93.9607	10.8755	-6.74695	-0.0282237	98.061	104.608	0.937417
28	3.48716e-05	0.205487	93.8244	10.9744	-6.59418	-0.0282268	98.1764	104.565	0.938899
29	3.61232e-05	0.205423	93.722	11.048	-6.47881	-0.0282273	98.263	104.533	0.94002
30	3.73717e-05	0.205375	93.6463	11.1022	-6.39579	-0.0282257	98.3245	104.508	0.940828
31	3.86175e-05	0.205339	93.5907	11.1418	-6.33693	-0.0282231	98.3674	104.49	0.941402
32	3.98611e-05	0.205313	93.5498	11.1711	-6.29705	-0.0282202	98.3956	104.477	0.941791
33	4.11027e-05	0.205294	93.5191	11.1931	-6.27185	-0.0282174	98.4122	104.467	0.942038
34	4.23426e-05	0.20528	93.4954	11.2103	-6.25697	-0.0282149	98.4205	104.46	0.942185
35	4.35811e-05	0.205268	93.4763	11.2243	-6.2493	-0.0282128	98.4231	104.454	0.942261
36	4.48184e-05	0.205259	93.4602	11.2362	-6.24523	-0.0282114	98.423	104.449	0.942303
37	4.60546e-05	0.205251	93.446	11.247	-6.24335	-0.0282109	98.4214	104.445	0.942323
38	4.72898e-05	0.205244	93.4328	11.2569	-6.24454	-0.0282111	98.417	104.442	0.942313
39	4.85243e-05	0.205238	93.4203	11.2664	-6.24924	-0.028212	98.4093	104.439	0.94227
40	4.97581e-05	0.205232	93.4082	11.2757	-6.25753	-0.0282136	98.3982	104.435	0.942192
41	5.09913e-05	0.205225	93.3963	11.2849	-6.26925	-0.0282157	98.3837	104.432	0.942081
42	5.2224e-05	0.20522	93.3844	11.2941	-6.28382	-0.0282184	98.3665	104.429	0.941943
43	5.34562e-05	0.205214	93.3725	11.3033	-6.30028	-0.0282217	98.3473	104.426	0.941787
44	5.46881e-05	0.205208	93.3605	11.3125	-6.31749	-0.0282253	98.3273	104.423	0.941623
45	5.59196e-05	0.205202	93.3484	11.3219	-6.3338	-0.0282294	98.3083	104.42	0.941468
46	5.71507e-05	0.205195	93.336	11.3315	-6.34465	-0.0282339	98.2946	104.417	0.941366
47	5.83814e-05	0.205189	93.3234	11.3413	-6.35254	-0.0282385	98.2839	104.414	0.941292
48	5.96119e-05	0.205183	93.3106	11.3512	-6.35718	-0.0282433	98.2764	104.411	0.941249
49	6.08422e-05	0.205176	93.2976	11.3612	-6.35906	-0.028248	98.2715	104.407	0.941232
50	6.20722e-05	0.20517	93.2843	11.3715	-6.35836	-0.0282526	98.2692	104.404	0.94124
51	6.33021e-05	0.205163	93.2709	11.3819	-6.35547	-0.0282572	98.2691	104.401	0.941269
52	6.45318e-05	0.205156	93.2571	11.3926	-6.35128	-0.0282617	98.2701	104.397	0.941311
53	6.57614e-05	0.205149	93.2432	11.4034	-6.34698	-0.028266	98.2713	104.394	0.941354
54	6.69909e-05	0.205142	93.229	11.4144	-6.34334	-0.0282702	98.2717	104.39	0.94139
55	6.82203e-05	0.205135	93.2145	11.4255	-6.34007	-0.0282742	98.2717	104.386	0.941423
56	6.94496e-05	0.205128	93.1997	11.437	-6.33801	-0.0282783	98.2704	104.383	0.941445
57	7.06788e-05	0.20512	93.1847	11.4486	-6.33669	-0.0282823	98.2683	104.379	0.941459
58	7.19079e-05	0.205113	93.1694	11.4604	-6.33377	-0.0282864	98.2677	104.375	0.941489
59	7.31371e-05	0.205105	93.1538	11.4725	-6.33268	-0.0282904	98.2653	104.371	0.941501
60	7.43661e-05	0.205097	93.1378	11.4848	-6.33312	-0.0282943	98.2612	104.367	0.941498
61	7.55951e-05	0.205089	93.1215	11.4974	-6.33486	-0.0282981	98.2558	104.363	0.941484
62	7.68241e-05	0.20508	93.1049	11.5103	-6.3377	-0.0283018	98.2492	104.359	0.941458
63	7.8053e-05	0.205072	93.0878	11.5235	-6.34165	-0.0283054	98.2414	104.354	0.941422
64	7.92819e-05	0.205063	93.0703	11.537	-6.34616	-0.0283089	98.2329	104.35	0.941381
65	8.05108e-05	0.205054	93.0524	11.5509	-6.35121	-0.0283125	98.2238	104.345	0.941335
66	8.17396e-05	0.205045	93.0338	11.5654	-6.3567	-0.0283162	98.2141	104.341	0.941284
67	8.29684e-05	0.205035	93.0135	11.5813	-6.36259	-0.02832	98.2038	104.336	0.94123
68	8.41971e-05	0.205025	92.9921	11.5979	-6.36883	-0.0283241	98.1928	104.33	0.941172
69	8.54258e-05	0.205014	92.9697	11.6153	-6.37571	-0.0283284	98.1809	104.325	0.941109
70	8.66545e-05	0.205002	92.9463	11.6334	-6.3832	-0.028333	98.1682	104.319	0.94104
71	8.7883e-05	0.20499	92.9219	11.6524	-6.39111	-0.0283377	98.1548	104.313	0.940967
72	8.91115e-05	0.204978	92.8965	11.6721	-6.39947	-0.0283427	98.1407	104.306	0.94089
