#step	time	mdot360	FmomInletX360	FpInletGaugeX360	FpWallX360	FshearWallX360	T_CFD360	T_ideal360	Cfg
0	0	-0	-0	0	0	-0.00121302	-0.00121302	-0	0
1	1.2e-06	-0	-0	166.97	-0.0422454	-0.00121301	166.926	-0	0
2	2.64e-06	0.0177728	0.771499	165.987	-0.088227	-0.00126819	166.669	11.9388	13.9602
3	4.368e-06	0.0452204	3.34914	164.116	-0.137111	-0.00133384	167.327	30.3766	5.50841
4	6.14647e-06	0.0767391	7.98544	161.359	-0.18021	-0.0014008	169.163	51.5492	3.28158
5	7.92449e-06	0.10696	14.14	157.96	-0.216416	-0.0014672	171.882	71.8499	2.39223
6	9.70231e-06	0.134531	21.3011	154.118	-0.246068	-0.00153326	175.172	90.3706	1.93837
7	1.14801e-05	0.159289	29.098	149.97	-0.269469	-0.00159904	178.797	107.002	1.67097
8	1.32581e-05	0.18147	37.2565	145.639	-0.286957	-0.00166461	182.607	121.902	1.49798
9	1.50363e-05	0.201234	45.546	141.222	-0.298936	-0.00173005	186.467	135.178	1.37942
10	1.67782e-05	0.218776	53.7029	136.889	-0.305737	-0.00179403	190.285	146.962	1.29479
11	1.84712e-05	0.233989	61.4818	132.731	-0.307823	-0.00185609	193.904	157.181	1.23363
12	2.012e-05	0.247075	68.7845	128.779	-0.306411	-0.00191638	197.255	165.972	1.18849
13	2.17289e-05	0.25835	75.5788	125.055	-0.302304	-0.00197503	200.329	173.545	1.15433
14	2.33021e-05	0.268066	81.8447	121.578	-0.296201	-0.00203212	203.124	180.072	1.12802
15	2.48431e-05	0.276426	87.5669	118.367	-0.288706	-0.00208776	205.643	185.688	1.10746
16	2.63547e-05	0.283592	92.7331	115.439	-0.280017	-0.00214202	207.89	190.502	1.09128
17	2.78398e-05	0.289696	97.3334	112.811	-0.270884	-0.00219494	209.871	194.602	1.07846
18	2.93007e-05	0.294849	101.36	110.498	-0.261678	-0.00224657	211.594	198.064	1.06831
19	3.07396e-05	0.299142	104.81	108.512	-0.252674	-0.00229692	213.066	200.948	1.06031
20	3.21585e-05	0.302656	107.681	106.862	-0.243899	-0.00234604	214.297	203.308	1.05405
21	3.35593e-05	0.305459	109.98	105.554	-0.235923	-0.00239395	215.296	205.191	1.04925
22	3.49437e-05	0.307609	111.716	104.588	-0.228994	-0.00244069	216.072	206.635	1.04567
23	3.63133e-05	0.309158	112.905	103.958	-0.22297	-0.00248627	216.637	207.676	1.04315
24	3.76697e-05	0.310151	113.568	103.655	-0.217972	-0.00253077	217.002	208.343	1.04157
25	3.90142e-05	0.310626	113.732	103.663	-0.214086	-0.00257424	217.178	208.662	1.04081
26	4.03482e-05	0.31062	113.429	103.961	-0.211327	-0.00261679	217.177	208.658	1.04083
27	4.16728e-05	0.310163	112.695	104.526	-0.209708	-0.00265853	217.009	208.351	1.04155
28	4.29893e-05	0.309284	111.569	105.329	-0.20918	-0.00269962	216.687	207.76	1.04296
29	4.42987e-05	0.308009	110.013	106.421	-0.209499	-0.00274002	216.221	206.904	1.04503
30	4.55996e-05	0.306237	108.05	107.745	-0.210387	-0.00277982	215.582	205.714	1.04797
31	4.68934e-05	0.304025	105.781	109.227	-0.211715	-0.00281922	214.793	204.228	1.05173
32	4.81818e-05	0.301467	103.331	110.779	-0.213353	-0.00285843	213.894	202.51	1.05622
33	4.94664e-05	0.298692	100.928	112.226	-0.215086	-0.00289769	212.935	200.645	1.06125
34	5.07498e-05	0.296015	98.6969	113.547	-0.216702	-0.00293702	212.024	198.847	1.06627
35	5.20326e-05	0.293493	96.6575	114.741	-0.218143	-0.0029764	211.178	197.153	1.07114
36	5.33134e-05	0.291148	94.8297	115.794	-0.219284	-0.00301579	210.401	195.578	1.07579
37	5.45925e-05	0.289029	93.2293	116.702	-0.220038	-0.00305523	209.708	194.154	1.08011
38	5.58702e-05	0.287161	91.8563	117.471	-0.220332	-0.0030947	209.104	192.899	1.084
39	5.71467e-05	0.28555	90.7025	118.108	-0.220171	-0.00313423	208.587	191.817	1.08743
40	5.84216e-05	0.284193	89.7511	118.628	-0.219592	-0.0031738	208.156	190.905	1.09036
41	5.9695e-05	0.283072	88.9778	119.047	-0.21862	-0.00321341	207.803	190.152	1.09282
42	6.09671e-05	0.282159	88.3554	119.382	-0.217284	-0.0032531	207.517	189.539	1.09485
43	6.2238e-05	0.281422	87.8306	119.676	-0.215628	-0.00329268	207.288	189.044	1.09651
